PMCID,Plant,Compound,TPS nomenclature,
PMC7459318,Vitis vinifera,not mentioned,Yes,
PMC7484799,,Yes,Yes,M. larici-populina
PMC7504178,Spearmint,Yes,Yes,
PMC7465836,Cucumis sativus,not mentioned,Yes,
PMC7419205,Chimonanthus praecox,Yes,Yes,
PMID: 32771161,Ficus carica,Yes,Yes,
PMC7432446,Dendrobium officinale,Yes,Yes,
PMID: 32726442,Lathyrus odoratus,Yes,Yes,
PMC7417412,Poaceae,not mentioned,Yes,
PMC7332032,Plectranthus amboinicus,Yes,Yes,
PMC7356763,Chimonanthus praecox,Yes,Yes,
PMC7293187,Cinnamomum burmannii,Yes,Yes,
PMC7305226,Daucus carota ,Yes,Yes,
PMC7352595,Pseudotaxus chienii,not mentioned,Yes,
PMC7321343,Vitis,Yes,Yes,
PMC7279377,,not mentioned,not mentioned,candida
PMC7216305,Vitis vinifera,not mentioned,Yes,
PMC7286024,Vitis vinifera,Yes,not mentioned,
PMC7227769,,Yes,No,Fungus
PMC7290806,Vitis vinifera,Yes,Yes,
PMC7299927,Cucumis sativus,Yes,Yes,
PMC7163982,,Yes,Yes,Poster Presentations
PMC7238224,Arabidopsis,not mentioned,not mentioned,
PMC7497057,Setaria italica,not mentioned,Yes,
PMC7180759,Clematis florida,Yes,Yes,table
PMC7125107,Litsea cubeba,Yes,Yes,
PMC7230838,Osmanthus fragrans,Yes,not mentioned,
PMC7154873,Salvia hispanica,Yes,Yes,
PMC7062797,Camellia sinensis,Yes,Yes,
PMID: 32184346,Actinidia chinensis,Yes,Yes,
PMC7067565,,not mentioned,not mentioned,"A. thaliana, E. coli,"
PMC7072466,Camellia sinensis,Yes,Yes,
PMC7029581,Matricaria recutita (German chamomile) and Chamaemelum nobile ,not mentioned,Yes,
PMC6986057,Vitis vinifera,not mentioned,Yes,
PMC6986037,Zanthoxylum armatum,not mentioned,Yes,
PMC6976640,Camellia sinensis,Yes,Yes,
PMC7013532,Camellia sinensis,Yes,Yes,
PMC7422722,Solanum lycopersicum,Yes,Yes,
PMC6941427,Camellia sinensis,Yes,no,
PMC6945444,citrus,Yes,Yes,
PMC7015852,N. colorata,Yes,Yes,
PMC6902781,,Yes,Yes,Physarum polycephalum
PMC6941020,Cinnamomum porrectum.,Yes,Yes,
PMC6995508,Camellia sinensis,Yes,Yes,
PMC7206992,Coriandrum sativum,Yes,Yes,
PMC6804824,Lilium,Yes,Yes,
PMC6796385,Chilo auricilius,Yes,Yes,
PMC6761604,Panicum virgatum,Yes,Yes,
PMC6767024,Camellia sinensis,Yes,not mentioned,
PMC6742361,Cannabis sativa,Yes,Yes,
PMC6863749,Eucalyptus grandis,Yes,not mentioned,
PMID: 31481200,Prunus dulcis,Yes,Yes,
PMC6747315,Camellia sinensis,Yes,Yes,
PMC6707303,A. thaliana,not mentioned,Yes,
PMC6707142,,Yes,no,yeast
PMC6723042,Thymus,not mentioned,Yes,
PMC6679452,Cymbidium goeringii,Yes,Yes,
PMC6656997,,not mentioned,not mentioned,fungus
PMC6680504,Citrus medica,Yes,Yes,
PMC6678411,Platanus acerifolia,Yes,Yes,
PMC6632208,Lavandula angustifolia,Yes,Yes,
PMC6543703,Zanthoxylum piperitum,Yes,Yes,
PMC6642400,Nicotiana attenuata,Yes,Yes,
PMC6651613,Populus trichocarpa,Yes,Yes,
PMC6592883,,Yes,Yes,fungi
PMC6580502,Eucalyptus globulus,not mentioned,not mentioned,
PMC6598649,Plants,Yes,Yes,
PMC6544981,,not mentioned,Yes,bacteria
PMC6563135,Protium copal,not mentioned,Yes,
PMC6531464,Populus nigra,Yes,Yes,
PMC6524965,Dictyostelium discoideum,Yes,Yes,
PMC6367160,Plants,not mentioned,Yes,
PMC6437863,Santalum album,Yes,Yes,
PMC6417135,Citrus,Yes,Yes,
PMC6393351,Vitis vinifera,Yes,Yes,
PMC6399326,Dalbergia odorifera,not mentioned,Yes,
PMC6473938,Lycoris longituba,Yes,Yes,
PMC6352525,Ocimum species,Yes,Yes,
PMC6850102,C. stoebe,Yes,Yes,
PMC6355774,Solanum lycopersicum,Yes,not mentioned,
PMC6345374,Eucalyptus globulus,Yes,Yes,
PMC6404600,Ferula assafoetida,not mentioned,Yes,
PMC6784883,Cinnamomum kanehirae,not mentioned,Yes,
PMC6299004,Populus trichocarpa,Yes,Yes,
PMC6287202,Quercus robur,not mentioned,Yes,
PMC6320843,Cyperus iria ,Yes,not mentioned,
PMC6240891,Pelargonium,not mentioned,Yes,
PMC6246602,Osmanthus fragrans,Yes,Yes,
PMC6231246,,not mentioned,not mentioned,fungus
PMC6239295,Ocimum sanctum,not mentioned,Yes,
PMC6278268,Scutellaria barbata,not mentioned,Yes,
PMC6198442,,Yes,Yes,Coniophora puteana
PMC6214137,S. lycopersicum,not mentioned,Yes,
PMID: 30305556,A. sciadophylloides Franch,not mentioned,Yes,
PMC6156593,,Yes,Yes,Dictyostelids
PMID: 30218384,Lilium ‘Siberia’ ,Yes,Yes,
PMC6163538,S. lycopersicum,Yes,Yes,
PMC6117411,R. tomentosa,Yes,Yes,
PMC6128898,Trachyspermum ammi,not mentioned,Yes,
PMC6289780,Salvia guaranitica,Yes,Yes,
PMC6110934,Maize and Barley,Yes,Yes,
PMC6124719,P. tuberosa,Yes,Yes,
PMC6140472,M. histrionica,Yes,Yes,insect
PMC6102311,Camellia hiemalis,Yes,Yes,
PMC6121529,M. canadensis,not mentioned,not mentioned,
PMC6100529,Osmanthus fragrans,not mentioned,Yes,
PMC6093345,Phalaenopsis bellina,Yes,Yes,
PMC6020762,Amomum villosum,Yes,Yes,
PMC6093421,Freesia x hybrida ,Yes,Yes,
PMC6100370,P. minus,not mentioned,Yes,
PMC6110340,Arabidopsis thaliana,not mentioned,Yes,
PMC5984618,R. chinensis,Yes,not mentioned,
PMC5927414,,not mentioned,Yes,T. atroviride
PMC5876372,Lilium ‘Siberia’,Yes,Yes,
PMC5842272,,Yes,Yes,Review
PMC6131416,rice,Yes,Yes,
PMC5802726,citrus,not mentioned,not mentioned,
PMC5777610,Ocimum basilicum,Yes,Yes,
PMC5777606,Solanum lycopersicum,Yes,Yes,
PMC5767561,,Yes,not mentioned,E. coli DH1
PMC5761147,,not mentioned,Yes,
AGR: IND605603677,Jasminum sambac,Yes,not mentioned,
PMC6014366,,not mentioned,not mentioned,
PMC5703079,Lycopersicon esculentum,Yes,Yes,
PMC5694497,Vitex genus,Yes,not mentioned,
PMC5693887,,Yes,not mentioned,
PMC5684173,Daucus carota,Yes,Yes,
PMC5700130,Salvia officinalis,Yes,Yes,
PMC5700745,Lilium,not mentioned,Yes,
PMC5683525,maize,not mentioned,Yes,
PMC6345376,,not mentioned,Yes,
PMID: 29075872,Camelina sativa,Yes,Yes,
