Volatile compounds,Plant,Table S2 Categorization of volatile substances in the skin and pulp of Chardonnay and Bud mutation ,
"(1S,7R,10R)-guaia-4-en-11-ol",,,
myristaldehyde,,,
myristic acid,,,
unidentified compound,,,
pentadecanoic acid,,,
palmitic acid,,,
oleic acid,,,
stearic acid,,,
,,,
(E)-_-Ocimene,https://europepmc.org/articles/PMC7815096/bin/pbio.3001022.s025.docx,https://europepmc.org/article/MED/33465061#sec024,
(Z)-_-Ocimene,,,
Linalool,,,
Geraniol,,,
Nerolidol,,,
Farnesol,,,
,,,
Structure model and molecular docking analysis of SmMTPSL,https://doi.org/10.3390/ijms22020605,,
,,,
Metabolite Content of Passion Fruit in Three Stages,https://doi.org/10.1038/s41438-020-00455-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41438-020-00455-1/MediaObjects/41438_2020_455_MOESM2_ESM.xlsx,
"1-Butanol, 3-methyl-",,,
"1,5-Diazabicyclo[3.1.0]hexane",,,
Toluene,,,
Isobutyl acetate,,,
"2-Oxetanone, 4-methyl-",,,
"2-Propenoic acid, 2-methyl-, 2-chloroethyl ester",,,
Cyclopentanone,,,
"Butanoic acid, ethyl ester",,,
"1,2-Hexanediol, 2-methyl-",,,
"2-Butenoic acid, ethyl ester, (Z)-",,,
"2-Pentene, 2,4-dimethyl-",,,
"1-Butanamine, 3-methyl-",,,
"Butanoic acid, 2-methyl-, ethyl ester",,,
"Butanoic acid, 3-methyl-3-nitroso-, methyl ester",,,
"2-Hexenal, (E)-",,,
"3-Hexen-1-ol, (Z)-",,,
"2-Propyn-1-ol, acetate",,,
"Propanoic acid, 2-methylpropyl ester",,,
1-Hexanol,,,
"2,3-Hexanedione",,,
"1-Butanol, 3-methyl-, acetate",,,
"1-Butanol, 2-methyl-, acetate",,,
"3-Penten-2-one, 4-methoxy-",,,
2-Heptanone,,,
2-Heptanol,,,
"Propanoic acid, 2-methyl-, butyl ester",,,
2-Methylbut-2-en-1-yl acetate,,,
"2-Propenoic acid, 2-methyl-",,,
"Hexanoic acid, methyl ester",,,
"Butanoic acid, 3-hydroxy-, ethyl ester",,,
Imidodicarbonic diamide,,,
Ethyl tiglate,,,
Benzaldehyde,,,
"Ethanone, 1-(4-hydroxy-3-thienyl)-",,,
"2,5-Furandione, dihydro-3-methyl-",,,
Ethyl (methylthio)acetate,,,
"2-Acetyl-2,3,5,6-tetrahydro-1,4-thiazine",,,
"Hexanoic acid, ethyl ester",,,
"2-Butenoic acid, butyl ester",,,
"3-Hexenoic acid, ethyl ester",,,
"3-Hexen-1-ol, acetate, (Z)-",,,
"Propanedioic acid, amino-, diethyl ester",,,
"Acetic acid, hexyl ester",,,
1H-Tetrazole,,,
"Propanoic acid, 2-methyl-, 2-methylbutyl ester",,,
"Phosphinic acid, diethyl-,  methyl ester",,,
"2-Heptanol, acetate",,,
Benzeneacetaldehyde,,,
3-Carene,,,
"2-Furancarboxylic acid, ethyl ester",,,
"3-Methyl-6-(methylthio)hexa-1,5-dien-3-ol",,,
Glycylsarcosine,,,
Phosphorus pentafluoride,,,
Acetophenone,,,
"Acetic acid, octyl ester",,,
"Acetamide, N-(aminocarbonyl)-",,,
"Diazene, 2-methoxy-1-propyl-, 1-oxide",,,
3-Methyl-1-(3-methyl-2-furyl)-1-butanone,,,
"(3R,6S)-2,2,6-Trimethyl-6-vinyltetrahydro-2H-pyran-3-ol",,,
"2-Nonanone, 3-(hydroxymethyl)-",,,
"2-Butenoic acid, 2-methyl-, 2-methylpropyl ester, (E)-",,,
Ethyl hydrogen succinate,,,
"Benzoic acid, methyl ester",,,
"Heptanoic acid, ethyl ester",,,
"Acetic acid, (propylthio)-, methyl ester",,,
"2,4-Dioxabicyclo[3.2.0]hept-6-en-3-one, 1,5-dichloro-6,7-dimethyl-",,,
Linalool,,,
1H-Tetrazol-5-amine,,,
"(E)-4,8-Dimethylnona-1,3,7-triene",,,
3-(Methylthio)propyl acetate,,,
"Hexanoic acid, 3-hydroxy-, ethyl ester",,,
Ethanediamide,,,
"Benzene, 1-ethyl-4-methoxy-",,,
"Ethanone, 1-(2-methylphenyl)-",,,
"Propane-1,1-diol diacetate",,,
"Hexanoic acid, 2-methylpropyl ester",,,
(E)-2-Methylbut-2-en-1-yl methacrylate,,,
"Butanedioic acid, dipropyl ester",,,
"2-Nonenal, (E)-",,,
"Acetic acid, phenylmethyl ester",,,
Octanoic acid,,,
Bicyclo(3.3.1)non-2-ene,,,
Terpinen-4-ol,,,
"Butanoic acid, 3-hexenyl ester, (E)-",,,
"4-Octenoic acid, ethyl ether",,,
"1,3-Dioxolane-2,2-diethanol",,,
"Butanoic acid, hexyl ester",,,
Methyl salicylate,,,
Pentan-2-yl (E)-2-methylbut-2-enoate,,,
Hexan-3-yl (E)-2-methylbut-2-enoate,,,
"Octanoic acid, ethyl ester",,,
"Hydrazine, 1,1-bis(2-methylpropyl)-",,,
3-Cyclopentyl-1-propanol,,,
"Ethyldiethanolamine, O,O'-diacetyl",,,
(2E)-2-(Acetylhydrazono)propanoic acid,,,
"Butanoic acid, 1-methylhexyl ester",,,
"N,N-Dimethylhexanamide",,,
"Hexanoic acid, 3-pentyl ester",,,
"Benzaldehyde, 2,4-dimethyl-",,,
1-Isopropyl-3-tert-butylbenzene,,,
"3-Pentenoic acid, 2,2-dimethyl-",,,
"3-Methyl-2-butenoic acid, 3-methylbut-2-enyl ester",,,
"1,3-Dioxepane, 2-heptyl-",,,
Isopentyl hexanoate,,,
"Hexanoic acid, 2-methylbutyl ester",,,
"Acetic acid, 2-phenylethyl ester",,,
5-Amino-2-methyl-2H-tetrazole,,,
"Acetic acid, cyano-, 2-methoxyethyl ester",,,
"Hexanoic acid, anhydride",,,
Methyl 6-chloronicotinate,,,
"1-Oxaspiro[4.5]dec-6-ene, 2,6,10,10-tetramethyl-",,,
"Hexanoic acid, pentyl ester",,,
"(+)-2-Carene, 2-isopropenyl-",,,
"2-Butenoic acid, hexyl ester",,,
"Cyclohexene, 6-(2-butenylidene)-1,5,5-trimethyl-, (E,Z)-",,,
"1(2H)-Naphthalenone, octahydro-4-hydroxy-, trans-",,,
3-(Methylthio)propyl 2-methylbutanoate,,,
"Tricyclo[4.2.2.0(1,5)]decan-7-one",,,
"1,3,5-Cycloheptatriene, 2,3,4,5,7,7-hexamethyl-",,,
"2-Propanone, 1-(5-methyl-3H-1,2-dithiol-3-ylidene)-",,,
"Cyclohexene, 6-(2-butenylidene)-1,5,5-trimethyl-, (Z,E)-",,,
"Benzene, 1,2-diethyl-3,4,5,6-tetramethyl-",,,
"2(1H)-Naphthalenone, 3,4,5,6,7,8-hexahydro-",,,
"Hexanoic acid, 3-hexenyl ester, (Z)-",,,
"Hexanoic acid, hexyl ester",,,
"Propanoic acid, 2-methyl-, octyl ester",,,
"Decanoic acid, ethyl ester",,,
"Hexanoic acid, 1-methylhexyl ester",,,
"Butanoic acid, 1-methyloctyl ester",,,
"Naphthalene, 1,2-dihydro-4,5,7-trimethyl-",,,
"Octanoic acid, 2-pentyl ester",,,
"2-Butanone, 4-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",,,
"2,4a-Epidioxy-5,6,7,8-tetrahydro-2,5,5,8a-tetramethyl-2H-1-benzopyran",,,
"Acetic acid, (4,6,8,9-tetramethyl-3-oxabicyclo[3.3.1]non-6-en-1-yl)methyl ester",,,
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",,,
"2-Butanone, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,,
"Benzoic acid, hept-2-yl ester",,,
"Benzene, 1,4-dimethyl-2,5-bis(1-methylethyl)-",,,
"1H-Pyrazole-1-carboximidamide, 3,5-dimethyl-",,,
"1-Cyclohexene-1-propanol, .alpha.,2,6,6-tetramethyl-",,,
"2(3H)-Furanone, 5-acetyldihydro-",,,
"2-Propenoic acid, 3-phenyl-, ethyl ester",,,
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,,
"Hexanoic acid, 3,5-dimethylcyclohexyl ester",,,
"1,3-Benzenediol, o-valeryl-",,,
Pentadecane,,,
"2,4-Di-tert-butylphenol",,,
"1,3-Benzenediol, 5-pentyl-",,,
"Acetic acid, 1-methyl-3-(2,6,6-trimethylcyclohex-1-enyl)propyl ester",,,
2-Cyclohexylethyl propylphosphonofluoridate,,,
"3-Octenoic acid, pentyl ester",,,
"Octanoic acid, hexyl ester",,,
"2-Ethylbutyric acid, octyl ester",,,
"3-Octenoic acid, isobutyl ester",,,
"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-",,,
"L-Aspartic acid, N-acetyl-, dimethyl ester",,,
Hexadecane,,,
"Propanoic acid, 2-methyl-, 3-phenylpropyl ester",,,
"3-Fluorobenzoic acid, 3,5-dimethylcyclohexyl ester",,,
"1,8,11,14-Heptadecatetraene, (Z,Z,Z)-",,,
8-Heptadecene,,,
"2-Thiophenecarboxylic acid, 3,5-dimethylphenyl ester",,,
Heptadecane,,,
1-(5-Dimethylethyl)pyrazin-2-yl-ethan-1-one,,,
"8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene",,,
"Thiophene, 2-dodecyl-",,,
Octadecane,,,
Z-5-Nonadecene,,,
Nonadecane,,,
"Adipic acid, 2,4-dimethylpent-3-yl hexyl ester",,,
Eicosane,,,
Heneicosane,,,
,The Different Metabolites Between T1 and T2,,
"1,2-Hexanediol, 2-methyl-",,,
"3-Hexen-1-ol, (Z)-",,,
1-Hexanol,,,
2-Methylbut-2-en-1-yl acetate,,,
"2-Propenoic acid, 2-methyl-",,,
"3-Hexen-1-ol, acetate, (Z)-",,,
"Acetic acid, hexyl ester",,,
"2-Butenoic acid, 2-methyl-, 2-methylpropyl ester, (E)-",,,
"Benzoic acid, methyl ester",,,
"(E)-4,8-Dimethylnona-1,3,7-triene",,,
"Hexanoic acid, 2-methylpropyl ester",,,
"Acetic acid, phenylmethyl ester",,,
Octanoic acid,,,
"Butanoic acid, 3-hexenyl ester, (E)-",,,
"Butanoic acid, hexyl ester",,,
Methyl salicylate,,,
1-Isopropyl-3-tert-butylbenzene,,,
Isopentyl hexanoate,,,
"Hexanoic acid, 2-methylbutyl ester",,,
5-Amino-2-methyl-2H-tetrazole,,,
"Hexanoic acid, anhydride",,,
Methyl 6-chloronicotinate,,,
"1-Oxaspiro[4.5]dec-6-ene, 2,6,10,10-tetramethyl-",,,
"Hexanoic acid, pentyl ester",,,
"(+)-2-Carene, 2-isopropenyl-",,,
"Cyclohexene, 6-(2-butenylidene)-1,5,5-trimethyl-, (E,Z)-",,,
"Tricyclo[4.2.2.0(1,5)]decan-7-one",,,
"1,3,5-Cycloheptatriene, 2,3,4,5,7,7-hexamethyl-",,,
"2-Propanone, 1-(5-methyl-3H-1,2-dithiol-3-ylidene)-",,,
"Cyclohexene, 6-(2-butenylidene)-1,5,5-trimethyl-, (Z,E)-",,,
"Benzene, 1,2-diethyl-3,4,5,6-tetramethyl-",,,
"Hexanoic acid, 3-hexenyl ester, (Z)-",,,
"Hexanoic acid, hexyl ester",,,
"Propanoic acid, 2-methyl-, octyl ester",,,
"Hexanoic acid, 1-methylhexyl ester",,,
"Naphthalene, 1,2-dihydro-4,5,7-trimethyl-",,,
"2-Butanone, 4-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",,,
"2,4a-Epidioxy-5,6,7,8-tetrahydro-2,5,5,8a-tetramethyl-2H-1-benzopyran",,,
"Acetic acid, (4,6,8,9-tetramethyl-3-oxabicyclo[3.3.1]non-6-en-1-yl)methyl ester",,,
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",,,
"2-Butanone, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,,
"Benzene, 1,4-dimethyl-2,5-bis(1-methylethyl)-",,,
"1H-Pyrazole-1-carboximidamide, 3,5-dimethyl-",,,
"1-Cyclohexene-1-propanol, .alpha.,2,6,6-tetramethyl-",,,
"2(3H)-Furanone, 5-acetyldihydro-",,,
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,,
"Hexanoic acid, 3,5-dimethylcyclohexyl ester",,,
"1,3-Benzenediol, o-valeryl-",,,
"Acetic acid, 1-methyl-3-(2,6,6-trimethylcyclohex-1-enyl)propyl ester",,,
1-(5-Dimethylethyl)pyrazin-2-yl-ethan-1-one,,,
,,,
Isobutyl acetate,,,
"2-Oxetanone, 4-methyl-",,,
Cyclopentanone,,,
"Butanoic acid, ethyl ester",,,
"1,2-Hexanediol, 2-methyl-",,,
"2-Butenoic acid, ethyl ester, (Z)-",,,
"1-Butanamine, 3-methyl-",,,
"Butanoic acid, 2-methyl-, ethyl ester",,,
"2-Hexenal, (E)-",,,
"3-Hexen-1-ol, (Z)-",,,
"2-Propyn-1-ol, acetate",,,
"Propanoic acid, 2-methylpropyl ester",,,
1-Hexanol,,,
"2,3-Hexanedione",,,
"1-Butanol, 3-methyl-, acetate",,,
"1-Butanol, 2-methyl-, acetate",,,
"3-Penten-2-one, 4-methoxy-",,,
2-Heptanone,,,
2-Heptanol,,,
2-Methylbut-2-en-1-yl acetate,,,
"2-Propenoic acid, 2-methyl-",,,
"Hexanoic acid, methyl ester",,,
"Butanoic acid, 3-hydroxy-, ethyl ester",,,
Imidodicarbonic diamide,,,
"Hexanoic acid, ethyl ester",,,
"2-Butenoic acid, butyl ester",,,
"3-Hexenoic acid, ethyl ester",,,
"3-Hexen-1-ol, acetate, (Z)-",,,
"Acetic acid, hexyl ester",,,
1H-Tetrazole,,,
"Propanoic acid, 2-methyl-, 2-methylbutyl ester",,,
"2-Heptanol, acetate",,,
"2-Furancarboxylic acid, ethyl ester",,,
"3-Methyl-6-(methylthio)hexa-1,5-dien-3-ol",,,
Glycylsarcosine,,,
Acetophenone,,,
"Acetic acid, octyl ester",,,
"2-Nonanone, 3-(hydroxymethyl)-",,,
"2-Butenoic acid, 2-methyl-, 2-methylpropyl ester, (E)-",,,
Ethyl hydrogen succinate,,,
"Acetic acid, (propylthio)-, methyl ester",,,
"2,4-Dioxabicyclo[3.2.0]hept-6-en-3-one, 1,5-dichloro-6,7-dimethyl-",,,
Linalool,,,
"(E)-4,8-Dimethylnona-1,3,7-triene",,,
3-(Methylthio)propyl acetate,,,
"Hexanoic acid, 3-hydroxy-, ethyl ester",,,
Ethanediamide,,,
"Hexanoic acid, 2-methylpropyl ester",,,
"Butanedioic acid, dipropyl ester",,,
"2-Nonenal, (E)-",,,
"Acetic acid, phenylmethyl ester",,,
Octanoic acid,,,
Bicyclo(3.3.1)non-2-ene,,,
Terpinen-4-ol,,,
"Butanoic acid, 3-hexenyl ester, (E)-",,,
"4-Octenoic acid, ethyl ether",,,
"1,3-Dioxolane-2,2-diethanol",,,
"Butanoic acid, hexyl ester",,,
Pentan-2-yl (E)-2-methylbut-2-enoate,,,
Hexan-3-yl (E)-2-methylbut-2-enoate,,,
"Octanoic acid, ethyl ester",,,
"Hydrazine, 1,1-bis(2-methylpropyl)-",,,
3-Cyclopentyl-1-propanol,,,
(2E)-2-(Acetylhydrazono)propanoic acid,,,
"Butanoic acid, 1-methylhexyl ester",,,
"N,N-Dimethylhexanamide",,,
"Hexanoic acid, 3-pentyl ester",,,
"1,3-Dioxepane, 2-heptyl-",,,
Isopentyl hexanoate,,,
"Hexanoic acid, 2-methylbutyl ester",,,
5-Amino-2-methyl-2H-tetrazole,,,
"Acetic acid, cyano-, 2-methoxyethyl ester",,,
"Hexanoic acid, anhydride",,,
Methyl 6-chloronicotinate,,,
"Hexanoic acid, pentyl ester",,,
"(+)-2-Carene, 2-isopropenyl-",,,
"2-Butenoic acid, hexyl ester",,,
"1(2H)-Naphthalenone, octahydro-4-hydroxy-, trans-",,,
"2(1H)-Naphthalenone, 3,4,5,6,7,8-hexahydro-",,,
"Hexanoic acid, 3-hexenyl ester, (Z)-",,,
"Hexanoic acid, hexyl ester",,,
"Propanoic acid, 2-methyl-, octyl ester",,,
"Decanoic acid, ethyl ester",,,
"Hexanoic acid, 1-methylhexyl ester",,,
"Butanoic acid, 1-methyloctyl ester",,,
"Octanoic acid, 2-pentyl ester",,,
"2,4a-Epidioxy-5,6,7,8-tetrahydro-2,5,5,8a-tetramethyl-2H-1-benzopyran",,,
"Acetic acid, (4,6,8,9-tetramethyl-3-oxabicyclo[3.3.1]non-6-en-1-yl)methyl ester",,,
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",,,
"Benzoic acid, hept-2-yl ester",,,
"2(3H)-Furanone, 5-acetyldihydro-",,,
"2-Propenoic acid, 3-phenyl-, ethyl ester",,,
"Hexanoic acid, 3,5-dimethylcyclohexyl ester",,,
"1,3-Benzenediol, o-valeryl-",,,
2-Cyclohexylethyl propylphosphonofluoridate,,,
"3-Octenoic acid, pentyl ester",,,
"Octanoic acid, hexyl ester",,,
"2-Ethylbutyric acid, octyl ester",,,
"3-Octenoic acid, isobutyl ester",,,
"2-Furancarboxylic acid, tetrahydro-3-methyl-5-oxo-",,,
"L-Aspartic acid, N-acetyl-, dimethyl ester",,,
Hexadecane,,,
1-(5-Dimethylethyl)pyrazin-2-yl-ethan-1-one,,,
"8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene",,,
Nonadecane,,,
,,,
Isobutyl acetate,,,
"Butanoic acid, ethyl ester",,,
"1,2-Hexanediol, 2-methyl-",,,
"2-Butenoic acid, ethyl ester, (Z)-",,,
"1-Butanamine, 3-methyl-",,,
"Butanoic acid, 2-methyl-, ethyl ester",,,
"2-Hexenal, (E)-",,,
"3-Hexen-1-ol, (Z)-",,,
"2-Propyn-1-ol, acetate",,,
"Propanoic acid, 2-methylpropyl ester",,,
1-Hexanol,,,
"2,3-Hexanedione",,,
"1-Butanol, 3-methyl-, acetate",,,
"1-Butanol, 2-methyl-, acetate",,,
"3-Penten-2-one, 4-methoxy-",,,
2-Heptanone,,,
2-Heptanol,,,
"Hexanoic acid, methyl ester",,,
"Butanoic acid, 3-hydroxy-, ethyl ester",,,
Imidodicarbonic diamide,,,
"Hexanoic acid, ethyl ester",,,
"2-Butenoic acid, butyl ester",,,
"3-Hexenoic acid, ethyl ester",,,
"Acetic acid, hexyl ester",,,
1H-Tetrazole,,,
"Propanoic acid, 2-methyl-, 2-methylbutyl ester",,,
"2-Heptanol, acetate",,,
"3-Methyl-6-(methylthio)hexa-1,5-dien-3-ol",,,
Glycylsarcosine,,,
Acetophenone,,,
"Acetic acid, octyl ester",,,
"2-Nonanone, 3-(hydroxymethyl)-",,,
"2-Butenoic acid, 2-methyl-, 2-methylpropyl ester, (E)-",,,
Ethyl hydrogen succinate,,,
"Benzoic acid, methyl ester",,,
"Acetic acid, (propylthio)-, methyl ester",,,
"2,4-Dioxabicyclo[3.2.0]hept-6-en-3-one, 1,5-dichloro-6,7-dimethyl-",,,
Linalool,,,
"(E)-4,8-Dimethylnona-1,3,7-triene",,,
3-(Methylthio)propyl acetate,,,
"Hexanoic acid, 3-hydroxy-, ethyl ester",,,
Ethanediamide,,,
"Ethanone, 1-(2-methylphenyl)-",,,
"Hexanoic acid, 2-methylpropyl ester",,,
"Butanedioic acid, dipropyl ester",,,
"2-Nonenal, (E)-",,,
"Acetic acid, phenylmethyl ester",,,
Octanoic acid,,,
Bicyclo(3.3.1)non-2-ene,,,
Terpinen-4-ol,,,
"Butanoic acid, hexyl ester",,,
Methyl salicylate,,,
Pentan-2-yl (E)-2-methylbut-2-enoate,,,
Hexan-3-yl (E)-2-methylbut-2-enoate,,,
"Octanoic acid, ethyl ester",,,
"Hydrazine, 1,1-bis(2-methylpropyl)-",,,
3-Cyclopentyl-1-propanol,,,
(2E)-2-(Acetylhydrazono)propanoic acid,,,
"N,N-Dimethylhexanamide",,,
"Hexanoic acid, 3-pentyl ester",,,
"1,3-Dioxepane, 2-heptyl-",,,
Isopentyl hexanoate,,,
"Hexanoic acid, 2-methylbutyl ester",,,
"Acetic acid, cyano-, 2-methoxyethyl ester",,,
Methyl 6-chloronicotinate,,,
"Hexanoic acid, pentyl ester",,,
"2-Butenoic acid, hexyl ester",,,
"1(2H)-Naphthalenone, octahydro-4-hydroxy-, trans-",,,
"2(1H)-Naphthalenone, 3,4,5,6,7,8-hexahydro-",,,
"Hexanoic acid, hexyl ester",,,
"Propanoic acid, 2-methyl-, octyl ester",,,
"Decanoic acid, ethyl ester",,,
"Hexanoic acid, 1-methylhexyl ester",,,
"Butanoic acid, 1-methyloctyl ester",,,
"Octanoic acid, 2-pentyl ester",,,
"2-Butanone, 4-(2,6,6-trimethyl-1,3-cyclohexadien-1-yl)-",,,
"2,4a-Epidioxy-5,6,7,8-tetrahydro-2,5,5,8a-tetramethyl-2H-1-benzopyran",,,
"5,9-Undecadien-2-one, 6,10-dimethyl-, (E)-",,,
"2-Butanone, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,,
"Benzoic acid, hept-2-yl ester",,,
"1H-Pyrazole-1-carboximidamide, 3,5-dimethyl-",,,
"1-Cyclohexene-1-propanol, .alpha.,2,6,6-tetramethyl-",,,
"2(3H)-Furanone, 5-acetyldihydro-",,,
"2-Propenoic acid, 3-phenyl-, ethyl ester",,,
"Hexanoic acid, 3,5-dimethylcyclohexyl ester",,,
"1,3-Benzenediol, o-valeryl-",,,
2-Cyclohexylethyl propylphosphonofluoridate,,,
"3-Octenoic acid, pentyl ester",,,
"Octanoic acid, hexyl ester",,,
"2-Ethylbutyric acid, octyl ester",,,
"3-Octenoic acid, isobutyl ester",,,
"L-Aspartic acid, N-acetyl-, dimethyl ester",,,
Hexadecane,,,
Heptadecane,,,
1-(5-Dimethylethyl)pyrazin-2-yl-ethan-1-one,,,
"8-(2,6-Dimethyl-hepta-1,5-dienyl)-3,7,7-trimethyl-bicyclo[4.2.0]oct-2-ene",,,
Nonadecane,,,
,,,
a-thujene,https://doi.org/10.1038/s41438-020-00412-y,carrot,
a-pinene,,,
sabinene+,,,
b-pinene,,,
b-myrcene+,,,
a-phellandrene,,,
a-terpinene,,,
ocymene,,,
limonene,,,
b-ocimene,,,
g-terpinene,,,
terpinolene,,,
linalool,,,
"1,3,8-p-menthatriene",,,
borneol,,,
terpinen-4-ol,,,
bornyl acetate,,,
4-carene,,,
d-elemene,,,
a-longipinene,,,
copaene,,,
b-elemene,,,
a-himachalene,,,
longifolene,,,
b-caryophyllene,,,
calarene,,,
(E)-b-farnesene,,,
humulene,,,
epi-bicyclosesquiphellandrene,,,
germacrene D,,,
b-bisabolene +,,,
d-cadinene,,,
"guaia-3,9-diene",,,
(Z)-a-bisabolene,,,
caryophyllene oxide,,,
a-bisabolol,,,
Prüfnummer,,,
Vial#,,,
Genotyp#,,,
a-thujene,,,
a-pinene,,,
camphene,,,
sabinene,,,
b-pinene,,,
b-myrcene,,,
a-phellandrene,,,
a-terpinene,,,
ocymene,,,
limonene,,,
b-ocimene,,,
g-terpinene,,,
terpinolene,,,
linalool,,,
"1,3,8-p-menthatriene",,,
(E/Z)-p-2-menthenol,,,
borneol,,,
terpinen-4-ol,,,
bornyl acetate,,,
4-carene,,,
d-elemene,,,
a-longipinene,,,
copaene,,,
b-elemene,,,
a-himachalene,,,
longifolene,,,
b-caryophyllene,,,
b-farnesene+,,,
humulene,,,
germacrene,,,
b-bisabolene+,,,
"guaia-3,9-diene",,,
(Z)-a-bisabolene,,,
caryophyllene oxide,,,
a-bisabolol,,,
,,,
Canabis volatiles figure,https://doi.org/10.3390/molecules25245792,,
,,,
,https://europepmc.org/articles/PMC7724791/bin/12870_2020_2745_MOESM6_ESM.xlsx,https://europepmc.org/article/MED/33297957#id512519,figure
Terpinolene,Monoterpene,,
Camphene,Monoterpene,,
p-Cymene,Monoterpene,,
Sabinene,Monoterpene,,
_-Terpinene,Monoterpene,,
_-Terpinene,Monoterpene,,
_-Phellandrene,Monoterpene,,
_-Thujene,Monoterpene,,
_-Thujene,Monoterpene,,
"Mentha-1,4,8-triene",Monoterpene,,
Ocimene,Monoterpene,,
_-Pinene,Monoterpene,,
(-)-(E)-Pinane,Monoterpene,,
Limonene,Monoterpene,,
Tricyclene,Monoterpene,,
(+)-(E)-Isolimonene,Monoterpene,,
Bornyl acetate,Monoterpene acetate,,
Dihydrocarvyl acetate,Monoterpene acetate,,
(E)-Carveyl acetate,Monoterpene acetate,,
Myrtenyl acetate,Monoterpene acetate,,
_-Terpinyl acetate,Monoterpene acetate,,
Chrysanthenyl acetate,Monoterpene acetate,,
Myrtenol,Oxygenated monoterpene,,
Neodihydrocarveol,Oxygenated monoterpene,,
Pinocarvone,Oxygenated monoterpene,,
Eucalyptol,Oxygenated monoterpene,,
Borneol,Oxygenated monoterpene,,
L-camphor,Oxygenated monoterpene,,
Carvone,Oxygenated monoterpene,,
(Z)-Dihydrocarvone,Oxygenated monoterpene,,
(E)-Dihydrocarvone,Oxygenated monoterpene,,
Limonene dioxide,Oxygenated monoterpene,,
(E)-Sabinene hydrate,Oxygenated monoterpene,,
(Z)-Sabinene hydrate,Oxygenated monoterpene,,
Isopinocarveol,Oxygenated monoterpene,,
"(E)-p-Mentha-2,8-dienol",Oxygenated monoterpene,,
4-Terpinenol,Oxygenated monoterpene,,
_-Amorphene,Sesquiterpene,,
_-Muurolene,Sesquiterpene,,
(Z)-Caryophyllene,Sesquiterpene,,
_-Cubebene,Sesquiterpene,,
_-Cadinene,Sesquiterpene,,
Germacrene D,Sesquiterpene,,
Longifolene,Sesquiterpene,,
"5_,7_H,10_-Eudesm-11-en-1_-ol",Oxygenated sesquiterpene,,
_-Cadinol,Oxygenated sesquiterpene,,
Epiglobulol,Oxygenated sesquiterpene,,
Parthenolide,Sesquiterpene lactone,,
Tomentosin,Sesquiterpene lactone,,
Zingiberene,Sesquiterpene,,
Unknown sesquiterpene #1,Sesquiterpene,,
Unknown sesquiterpene #2,Sesquiterpene,,
Unknown sesquiterpene #3,Sesquiterpene,,
Unknown sesquiterpene #4,Sesquiterpene,,
Unknown sesquiterpene #5,Sesquiterpene,,
Unknown sesquiterpene #6,Sesquiterpene,,
Unknown sesquiterpene #7,Sesquiterpene,,
Unknown sesquiterpene #8,Sesquiterpene,,
Unknown sesquiterpene #9,Sesquiterpene,,
Unknown sesquiterpene #10,Sesquiterpene,,
Unknown sesquiterpene #11,Sesquiterpene,,
Unknown sesquiterpene #12,Sesquiterpene,,
