,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://doi.org/10.1016/j.jplph.2020.153358 PMID: 33453433,PMID: 33453433,Albizia julibrissin,Yes,Yes,,[PMC](https://doi.org/10.1016/j.jplph.2020.153358  ),, ),[PMC](,https://doi.org/10.1016/j.jplph.2020.153358 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ PMC7826640,PMC7826640,,Yes,Yes,Selaginella moellendorffii,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/ PMC7794574,PMC7794574,Passiflora edulis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ PMC7705728,PMC7705728,Daucus carota,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/ PMC7724791,PMC7724791,Tanacetum vulgare,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ PMC7698779,PMC7698779,Freesia hybrida,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ PMC7696289,PMC7696289,Stevia rebaudiana,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/ PMC7591569,PMC7591569,Prunus persica,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552398/ PMC7552398,PMC7552398,,Yes,Yes,beetle Agasicles hygrophila,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552398/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552398/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/ PMC7582308,PMC7582308,Dendrobium officinale,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/ 
