,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562797/ PMC5562797,PMC5562797,Pinus contorta,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562797/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562797/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562913/ PMC5562913,PMC5562913,Mangifera indica,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562913/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562913/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576791/ PMC5576791,PMC5576791,Nicotiana attenuata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576791/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5576791/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5495837/ PMC5495837,PMC5495837,Tomato,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5495837/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5495837/ 
https://doi.org/10.1111/pce.13029 PMID: 28722114,PMID: 28722114,Prunus persica_,Yes,Yes,,[PMC](https://doi.org/10.1111/pce.13029  ),, ),[PMC](,https://doi.org/10.1111/pce.13029 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530694/ PMC5530694,PMC5530694,Plants,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530694/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5530694/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850473/ PMC5850473,PMC5850473,Arabidopsis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850473/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5850473/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/ PMC5471912,PMC5471912,champak,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5471912/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442961/ PMC5442961,PMC5442961,,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442961/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5442961/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5785346/ PMC5785346,PMC5785346,Artemisia annua,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5785346/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5785346/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5432621/ PMC5432621,PMC5432621,Vitis vinifera,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5432621/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5432621/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5449406/ PMC5449406,PMC5449406,rice,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5449406/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5449406/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/ PMC5404360,PMC5404360,Salvia miltiorrhiza,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5404360/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/ PMC5395458,PMC5395458,Zea mays,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5395458/ 
https://doi.org/10.1111/pce.12959 PMID: 28370092,PMID: 28370092,P. lunatus,Yes,Yes,,[PMC](https://doi.org/10.1111/pce.12959  ),, ),[PMC](,https://doi.org/10.1111/pce.12959 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6154332/ PMC6154332,PMC6154332,J. sambac,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6154332/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6154332/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362742/ PMC4362742,PMC4362742,,not mentioned,Yes,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362742/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4362742/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/ PMC5341033,PMC5341033,Murraya koenigii,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5341033/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333544/ PMC5333544,PMC5333544,Persicaria minor,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333544/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333544/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289981/ PMC5289981,PMC5289981,Rice,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289981/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5289981/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5281624/ PMC5281624,PMC5281624,Vitis vinifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5281624/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5281624/ 
https://doi.org/10.1016/j.phytochem.2017.01.015 PMID: 28190677,PMID: 28190677,Lavandula angustifolia,not mentioned,Yes,,[PMC](https://doi.org/10.1016/j.phytochem.2017.01.015  ),, ),[PMC](,https://doi.org/10.1016/j.phytochem.2017.01.015 
https://doi.org/10.1016/j.plantsci.2016.11.013 PMID: 28167035,PMID: 28167035,Jasminum sambac,Yes,Yes,,[PMC](https://doi.org/10.1016/j.plantsci.2016.11.013  ),, ),[PMC](,https://doi.org/10.1016/j.plantsci.2016.11.013 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/ PMC5122590,PMC5122590,Arabidopsis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087002/ PMC5087002,PMC5087002,Plants,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087002/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087002/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087028/ PMC5087028,PMC5087028,D. discoideum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087028/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5087028/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5362686/ PMC5362686,PMC5362686,"soybean, apple",Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5362686/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5362686/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083917/ PMC5083917,PMC5083917,Osmanthus fragrans,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083917/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5083917/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6272835/ PMC6272835,PMC6272835,Litsea_cubeba,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6272835/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6272835/ 
https://doi.org/10.1016/j.phytochem.2016.08.002 PMID: 27561253,PMID: 27561253,,Yes,not mentioned,,[PMC](https://doi.org/10.1016/j.phytochem.2016.08.002  ),, ),[PMC](,https://doi.org/10.1016/j.phytochem.2016.08.002 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4963619/ PMC4963619,PMC4963619,C. flexuosus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4963619/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4963619/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934395/ PMC4934395,PMC4934395,Gongora_orchids,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934395/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4934395/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/ PMC4861830,PMC4861830,Artemisia annua,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4861830/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274141/ PMC6274141,PMC6274141,Valeriana fauriei,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274141/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274141/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803801/ PMC4803801,PMC4803801,tree species,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803801/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4803801/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/ PMC5301923,PMC5301923,citrus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301923/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822282/ PMC4822282,PMC4822282,Sambucus nigra,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822282/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4822282/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4802899/ PMC4802899,PMC4802899,V. vinifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4802899/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4802899/ 
https://doi.org/10.1111/ppl.12241 AGR: IND601259759,AGR: IND601259759,Lavandula pedunculata,Yes,Yes,,[PMC](https://doi.org/10.1111/ppl.12241  ),, ),[PMC](,https://doi.org/10.1111/ppl.12241 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295635/ PMC5295635,PMC5295635,Maize,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295635/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295635/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801258/ PMC4801258,PMC4801258,Brassica juncea,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801258/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801258/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/ PMC4757406,PMC4757406,,Yes,Yes,fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/ PMC4709469,PMC4709469,Osmanthus fragrans,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711449/ PMC4711449,PMC4711449,medicinal plants,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711449/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711449/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737078/ PMC4737078,PMC4737078,Vitis vinifera,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737078/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737078/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/ PMC4737073,PMC4737073,Vitis vinifera,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4654506/ PMC4654506,PMC4654506,Syringa oblata,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4654506/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4654506/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645219/ PMC4645219,PMC4645219,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645219/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645219/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625925/ PMC4625925,PMC4625925,Populus trichocarpa,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625925/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625925/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595271/ PMC4595271,PMC4595271,Vitis vinifera,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595271/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595271/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588909/ PMC4588909,PMC4588909,Camellia sinensis,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588909/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588909/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4492009/ PMC4492009,PMC4492009,Solanum elaeagnifolium,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4492009/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4492009/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/ PMC4472261,PMC4472261,Hedychium coronarium,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464248/ PMC4464248,PMC4464248,Eucalyptus,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464248/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464248/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445982/ PMC4445982,PMC4445982,Ocimum sanctum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445982/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445982/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438586/ PMC4438586,PMC4438586,Nicotiana benthamiana,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438586/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438586/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4433141/ PMC4433141,PMC4433141,Eucalyptus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4433141/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4433141/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/ PMC4473991,PMC4473991,C. odorata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415311/ PMC4415311,PMC4415311,Phaseolus lunatus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415311/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415311/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4397498/ PMC4397498,PMC4397498,Nicotiana attenuata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4397498/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4397498/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4364678/ PMC4364678,PMC4364678,Solanum lycopersicum,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4364678/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4364678/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/ PMC4347605,PMC4347605,Achillea millefolium,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4506461/ PMC4506461,PMC4506461,Arabidopsis thaliana,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4506461/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4506461/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4375501/ PMC4375501,PMC4375501,,Yes,Yes,fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4375501/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4375501/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4273207/ PMC4273207,PMC4273207,,Yes,not mentioned,Database,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4273207/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4273207/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/ PMC4232691,PMC4232691,Mentha spicata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/ PMC4197230,PMC4197230,Populus trichocarpa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/ PMC4172859,PMC4172859,Oryza,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/ PMC4190577,PMC4190577,Nicotiana attenuata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126464/ PMC4126464,PMC4126464,,Yes,not mentioned,Synechococcus_sp.,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126464/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126464/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4125705/ PMC4125705,PMC4125705,Ocimum,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4125705/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4125705/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMID: 24943828/ PMID: 24943828,PMID: 24943828,Lavandula,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMID: 24943828/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMID: 24943828/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032488/ PMC4032488,PMC4032488,Solanum lycopersicum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032488/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032488/ 
https://doi.org/10.1007/s10529-014-1533-2 PMID: 24752813,PMID: 24752813,Solanum lycopersicum,Yes,Yes,,[PMC](https://doi.org/10.1007/s10529-014-1533-2  ),, ),[PMC](,https://doi.org/10.1007/s10529-014-1533-2 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969365/ PMC3969365,PMC3969365,,not mentioned,Yes,Ecoli,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969365/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969365/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277265/ PMC4277265,PMC4277265,Pinus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277265/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277265/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4883687/ PMC4883687,PMC4883687,rice,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4883687/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4883687/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007517/ PMC4007517,PMC4007517,Quercus robur,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007517/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007517/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/ PMC3790869,PMC3790869,G. max,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/ 
https://doi.org/10.1016/j.phytochem.2013.09.009 PMID: 24074555,PMID: 24074555,Gossypium hirsutum,Yes,Yes,,[PMC](https://doi.org/10.1016/j.phytochem.2013.09.009  ),, ),[PMC](,https://doi.org/10.1016/j.phytochem.2013.09.009 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775748/ PMC3775748,PMC3775748,Boechera_stricta,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775748/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775748/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/ PMC3694093,PMC3694093,plants,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3650682/ PMC3650682,PMC3650682,Selaginella,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3650682/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3650682/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668260/ PMC3668260,PMC3668260,Pinus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668260/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668260/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3638147/ PMC3638147,PMC3638147,Vaccinium macrocarpon,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3638147/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3638147/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3635961/ PMC3635961,PMC3635961,A. sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3635961/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3635961/ 
https://doi.org/10.1105/tpc.112.100057 PMID: 23512856,PMID: 23512856,Arabidopsis,Yes,Yes,,[PMC](https://doi.org/10.1105/tpc.112.100057  ),, ),[PMC](,https://doi.org/10.1105/tpc.112.100057 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570303/ PMC3570303,PMC3570303,maize,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570303/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570303/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/ PMC3525583,PMC3525583,ginger and turmeric,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/ 
https://doi.org/10.1104/pp.112.208249 PMID: 23256150,PMID: 23256150,Apple,Yes,Yes,,[PMC](https://doi.org/10.1104/pp.112.208249  ),, ),[PMC](,https://doi.org/10.1104/pp.112.208249 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437839/ PMC3437839,PMC3437839,Selaginella moellendorffii,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437839/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437839/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394800/ PMC3394800,PMC3394800,Snapdragon,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394800/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394800/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/ PMC3423072,PMC3423072,chamomile,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3466413/ PMC3466413,PMC3466413,Solanum habrochaites,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3466413/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3466413/ 
