LINK,PMCID,Plant,Compound,TPS nomenclature,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796385/ ,PMC6796385,Chilo auricilius,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6761604/ ,PMC6761604,Panicum virgatum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767024/ ,PMC6767024,Camellia sinensis,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/ ,PMC6742361,Cannabis sativa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6863749/ ,PMC6863749,Eucalyptus grandis,Yes,not mentioned,
https://doi.org/10.1016/j.plantsci.2019.110187 ,PMID: 31481200,Prunus dulcis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/ ,PMC6747315,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707303/ ,PMC6707303,A. thaliana,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707142/ ,PMC6707142,,Yes,no,yeast
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6723042/ ,PMC6723042,Thymus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/ ,PMC6679452,Cymbidium goeringii,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6656997/ ,PMC6656997,,not mentioned,not mentioned,fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/ ,PMC6680504,Citrus medica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/ ,PMC6678411,Platanus acerifolia,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/ ,PMC6632208,Lavandula angustifolia,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/ ,PMC6543703,Zanthoxylum piperitum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/ ,PMC6642400,Nicotiana attenuata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6651613/ ,PMC6651613,Populus trichocarpa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/ ,PMC6592883,,Yes,Yes,fungi
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580502/ ,PMC6580502,Eucalyptus globulus,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/ ,PMC6598649,Plants,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544981/ ,PMC6544981,,not mentioned,Yes,bacteria
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563135/ ,PMC6563135,Protium copal,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/ ,PMC6531464,Populus nigra,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/ ,PMC6524965,Dictyostelium discoideum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367160/ ,PMC6367160,Plants,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/ ,PMC6437863,Santalum album,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/ ,PMC6417135,Citrus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/ ,PMC6393351,Vitis vinifera,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6399326/ ,PMC6399326,Dalbergia odorifera,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473938/ ,PMC6473938,Lycoris longituba,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/ ,PMC6352525,Ocimum_species,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/ ,PMC6850102,C._stoebe,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355774/ ,PMC6355774,Solanum lycopersicum,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345374/ ,PMC6345374,Eucalyptus globulus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6404600/ ,PMC6404600,Ferula assafoetida,not mentioned,Yes,
